"CustomerID","CLVSegment","Gender","Age","ResBiz","Optout","CreditStatus","SalesChannel","ContractDuration","ContractEndMonths","ZipDemographHouseOther","ZipDemographHouseRenter","ZipDemographHouseOwner","ZipDemographAvgAge","AvgCallsIn","AvgTxtsIn","AvgCallsOut","ZipCode","ReferenceModel","Churn"
"CE-9344867","LARGE","F",39,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,55,44,55.5,49.33333333,22.66666667,49.66666667,"68278",0.275984736722909,"N"
"CE-7058241","MEDIUM","F",31,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,34,65,48.2,61.66666667,0.333333333,58,"78689",0.686141963443574,"Y"
"CE-7568687","SMALL","F",28,"N","N","Y","THIRD PARTY SALES CHANNEL",12,3,0,0,100,38.6,19,1.333333333,46.33333333,"43296",0.289518450358964,"N"
"CE-1255978","LARGE","F",23,"N","N","N","PRIVATE SALES CHANNEL",12,3,0,100,0,56.2,96.33333333,1,119.3333333,"33305",0.446310307084631,"N"
"CE-3287214","LARGE","F",27,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,72,27,41.5,46,11.33333333,40.66666667,"80682",0.731356989003568,"Yes"
"CE-3960406","LARGE","M",25,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,90,10,36.3,62,19.33333333,52,"00081",0.812772072000513,"No"
"CE-8285262","MEDIUM","M",21,"N","N","N","PRIVATE SALES CHANNEL",12,3,1,11,88,51.7,49.33333333,2.333333333,92.33333333,"53869",0.107147859426467,"N"
"CE-925232","SMALL","F",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,13,87,44.2,31.66666667,10.33333333,34.33333333,"75670",0.0683807020416105,"No"
"CE-2574593","LARGE","M",31,"N","Y","Y","THIRD PARTY SALES CHANNEL",12,3,1,23,76,38.4,294,2.333333333,246.3333333,"09255",0.910141375491301,"Y"
"CE-130764","SMALL","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,47,52,43.1,28.66666667,16.33333333,55,"67087",0.0506257380508854,"No"
"CE-5795687","MEDIUM","M",69,"N","N","N","PRIVATE SALES CHANNEL",12,3,1,19,80,50.3,7,0,46.33333333,"61100",0.672048833049909,"N"
"CE-6257380","SMALL","M",60,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,0,100,38.7,9.333333333,0.666666667,16,"43065",0.255946259415376,"N"
"CE-1322700","LARGE","F",28,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,0,100,73.7,68,4.333333333,101.6666667,"43948",0.0440733594459853,"N"
"CE-306847","SMALL","M",29,"N","Y","Y","THIRD PARTY SALES CHANNEL",,3,0,50,50,42.3,23.66666667,2.666666667,43.33333333,"05350",0.00676063570099264,"N"
"CE-6019499","MEDIUM","M",22,"N","N","N","THIRD PARTY SALES CHANNEL",,3,1,54,45,60.2,31,2,29.33333333,"87588",0.0996902616999,"N"
"CE-2458886","MEDIUM","M",32,"N","N","N","THIRD PARTY SALES CHANNEL",,3,0,100,0,45.8,31.66666667,0.333333333,48,"33501",0.101049384379604,"No"
"CE-8694955","MEDIUM","M",34,"N","N","N","THIRD PARTY SALES CHANNEL",,3,0,50,50,38.4,25.33333333,0,71.33333333,"05720",0.514459265461676,"N"
"CE-3926896","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,65,34,34.3,142,6,129,"49936",0.917192417560669,"Y"
"CE-8239674","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,81,18,56.2,95,49.33333333,58.66666667,"73450",0.852400484369586,"No"
"CE-3390022","MEDIUM","M",77,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,37,62,39.4,0.666666667,0,4.666666667,"89726",0.245668794274341,"N"
"CE-9265252","SMALL","M",48,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,0,100,0,45.2,8.666666667,0,0,"33214",0.907413757147191,"Y"
"CE-9486078","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,89,10,65.4,226.3333333,7.333333333,209.6666667,"21214",0.258882136436817,"Yes"
"CE-7838023","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,85,14,40.9,68.66666667,0.666666667,86.66666667,"23754",0.00428338560787616,"No"
"CE-5390659","MEDIUM","M",23,"N","N","Y","THIRD PARTY SALES CHANNEL",12,3,1,65,34,49.2,58.66666667,4,73.33333333,"49574",0.892444242306794,"N"
"CE-2155361","MEDIUM","F",47,"N","N","N","PRIVATE SALES CHANNEL",24,3,0,0,100,39.1,16,0,25.33333333,"43124",0.440199377077568,"N"
"CE-1944250","LARGE","M",35,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,0,100,0,69.1,120,0,128.3333333,"33946",0.0588796639067353,"N"
"CE-7274731","TOP","M",88,"Y","N","N","THIRD PARTY SALES CHANNEL",,3,100,0,0,,161.6666667,0.333333333,353,"43439",0.0390662386440762,"N"
"CE-7757738","MEDIUM","M",28,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,0,0,100,43,25.66666667,0.666666667,37,"43790",0.793273070637772,"Yes"
"CE-1322362","MEDIUM","M",30,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,9,90,46.3,41.66666667,5,30.33333333,"45252",0.661442231970792,"N"
"CE-4446211","MEDIUM","F",49,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,0,100,0,44.2,5.333333333,0,10.66666667,"33753",0.54023569783289,"N"
"CE-2889516","LARGE","M",25,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,59,40,43.7,29.33333333,9,39.66666667,"91361",0.10851915260404,"No"
"CE-7608273","LARGE","F",19,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,81,18,37.4,35.66666667,5,44,"73582",0.774560193545343,"No"
"CE-1329007","SMALL","F",29,"N","N","Y","THIRD PARTY SALES CHANNEL",12,3,0,0,100,54,32,9.333333333,74.66666667,"43768",0.613488517968246,"No"
"CE-9244223","MEDIUM","M",24,"N","N","Y","THIRD PARTY SALES CHANNEL",12,3,1,82,17,46.6,47,1.666666667,126,"72078",0.591152076481694,"N"
"CE-9300618","LARGE","M",25,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,0,0,100,44,78,12,136.3333333,"43899",0.10706132295251,"N"
"CE-9434807","MEDIUM","F",32,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,69,30,43.7,4.333333333,0.333333333,14.66666667,"48796",0.965158491640783,"Yes"
"CE-1437484","MEDIUM","M",45,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,53,46,56,50,0.666666667,28.33333333,"44727",0.723627886913597,"N"
"CE-5305484","LARGE","F",24,"N","Y","Y","THIRD PARTY SALES CHANNEL",24,3,1,37,62,41.9,164,58.66666667,112,"89424",0.976267233360501,"Y"
"CE-2897895","SMALL","F",39,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,26,73,62.9,2.333333333,0,10.33333333,"50497",0.215747839250011,"N"
"CE-5745791","SMALL","F",44,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,1,67,32,55.7,6.666666667,3.333333333,21.66666667,"35493",0.946466000897063,"Y"
"CE-3331255","LARGE","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",24,3,0,100,0,41.9,53.33333333,0.333333333,118.6666667,"33300",0.0336756192715846,"N"
"CE-9432548","MEDIUM","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,76,23,43.2,60.33333333,8,63,"32057",0.827755202584722,"No"
"CE-2612433","MEDIUM","M",54,"N","Y","Y","THIRD PARTY SALES CHANNEL",,2.966666667,0,67,33,43,9.666666667,0.333333333,11,"35457",0.284399739591537,"N"
"CE-1440954","SMALL","F",37,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,49,50,49.3,3.333333333,0,0,"47126",0.999984604321672,"Y"
"CE-4107780","MEDIUM","M",45,"N","Y","Y","THIRD PARTY SALES CHANNEL",,2.966666667,1,76,23,39.1,52.66666667,0,52,"32832",0.889732692284668,"Y"
"CE-7059854","MEDIUM","F",30,"N","Y","Y","THIRD PARTY SALES CHANNEL",12,2.966666667,0,90,10,31.7,22,16.66666667,48,"00327",0.6131469783187,"No"
"CE-175587","LARGE","F",26,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,29,70,44,110.6666667,6,111,"24971",0.564829710785638,"N"
"CE-3645105","MEDIUM","M",32,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,50,49,34.5,16,11.66666667,33.66666667,"05063",0.1334875524749,"Yes"
"CE-6011042","LARGE","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,0,0,100,37.5,70,44,50,"43902",0.920947324590466,"Y"
"CE-8833142","LARGE","M",20,"N","Y","Y","THIRD PARTY SALES CHANNEL",12,2.966666667,1,89,10,43.3,174,9.333333333,282,"21132",0.552131478316789,"y"
"CE-7031295","MEDIUM","M",36,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,82,17,55.2,84,0.666666667,62.33333333,"72594",0.920849384770554,"N"
"CE-1039402","LARGE","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,10,89,45,113.3333333,1.666666667,88,"55348",0.147043530394663,"N"
"CE-2065940","LARGE","F",36,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,78,22,55,73.33333333,6.666666667,49,"97946",0.93036896634435,"Yes"
"CE-3802270","LARGE","F",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,83,16,35.2,115.6666667,0,146,"29736",0.414851250193419,"N"
"CE-8190816","SMALL","M",39,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,0,100,49.1,20.66666667,1,18,"43512",0.343774190634303,"N"
"CE-3001751","LARGE","M",27,"N","N","N","PRIVATE SALES CHANNEL",12,2.966666667,0,100,0,29.6,19.66666667,0,76.66666667,"33859",0.172606534374147,"No"
"CE-1315523","SMALL","M",88,"Y","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,100,0,0,,2,0,88.66666667,"43742",0.0757561026323882,"N"
"CE-418030","LARGE","M",28,"N","N","N","PRIVATE SALES CHANNEL",12,2.966666667,1,57,42,38.2,81,3.666666667,46,"58952",0.0219530865319431,"N"
"CE-7454969","LARGE","M",32,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,49,50,45.8,78,2.666666667,249.6666667,"47180",0.749185026069957,"No"
"CE-9315677","LARGE","F",20,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,70,29,35.8,121.3333333,6,198.6666667,"65518",0.785499284074899,"N"
"CE-7195240","LARGE","M",42,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,0,100,65.7,154.6666667,31.33333333,40.66666667,"43274",0.76176846116542,"Y"
"CE-8636068","MEDIUM","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,57,42,60.7,21,1.333333333,60,"58769",0.955958784126565,"Y"
"CE-8526080","MEDIUM","M",76,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,0,100,45.6,7.666666667,0,15.66666667,"43596",0.120004784884284,"N"
"CE-9653325","MEDIUM","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,0,40,60,40.7,65,28,135.6666667,"13602",0.658245834506008,"Y"
"CE-1577385","MEDIUM","M",88,"Y","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,100,0,0,,5,1,120,"43370",0.860437896529346,"No"
"CE-3854375","SMALL","M",28,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,15,84,44.8,1.333333333,0,3.666666667,"77923",0.955848460963389,"Y"
"CE-7252601","LARGE","M",32,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,78,21,34.1,93.66666667,3,153.6666667,"97290",0.57715528635071,"N"
"CE-7105573","MEDIUM","M",22,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,76,23,45.5,38.66666667,1,98,"32043",0.862723975670799,"N"
"CE-8044100","MEDIUM","F",26,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,55,44,47,24.33333333,11.33333333,37.33333333,"68098",0.368720534623091,"No"
"CE-7659016","LARGE","M",48,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,0,0,100,36.1,68.33333333,110.3333333,171,"43710",0.873301097690389,"Yes"
"CE-2575998","SMALL","M",53,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,80,19,32.6,14.66666667,0,33.66666667,"10491",0.385506166858766,"No"
"CE-4088357","MEDIUM","M",26,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,43,56,38.2,53.33333333,4.333333333,100.6666667,"17467",0.851218134600467,"N"
"CE-5314349","MEDIUM","M",25,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,64,35,39.1,49.66666667,2,41,"22384",0.968645060863846,"Yes"
"CE-885716","MEDIUM","M",18,"Y","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,0,100,34.7,0.666666667,0,0,"43188",0.00697793041507313,"No"
"CE-5119092","LARGE","M",30,"N","Y","Y","THIRD PARTY SALES CHANNEL",,2.966666667,1,28,71,43.2,37.66666667,1.666666667,55.33333333,"66453",0.910327602628037,"Y"
"CE-141997","LARGE","M",30,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,67,32,37.7,131.3333333,38.66666667,181,"35967",0.599200345294263,"N"
"CE-6665285","MEDIUM","M",39,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,10,89,38.1,100,1.333333333,35.33333333,"55690",0.285741203196992,"N"
"CE-8091730","LARGE","M",34,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,87,12,40,30.66666667,4.333333333,65,"40742",0.942292556688359,"Y"
"CE-4458809","MEDIUM","F",23,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,100,0,44,26,0.333333333,18.33333333,"33861",0.836999962490192,"Y"
"CE-5660124","LARGE","F",28,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,80,19,40.6,70.66666667,4.666666667,108.3333333,"10976",0.36549691918349,"Yes"
"CE-7040029","MEDIUM","M",28,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,62,37,46.1,61.66666667,21.33333333,77.33333333,"03891",0.540142260171401,"Y"
"CE-772449","MEDIUM","M",26,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,0,77,23,45.4,38.33333333,0.333333333,65.66666667,"52240",0.174466573728241,"N"
"CE-3853756","MEDIUM","M",21,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,0,82,18,26.2,65.66666667,0.333333333,104.3333333,"72852",0.892414880509311,"Y"
"CE-8791156","MEDIUM","F",24,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,58,41,43.7,4.333333333,0.666666667,22.33333333,"93869",0.730306751509119,"Y"
"CE-6132513","TOP","F",23,"N","Y","Y","THIRD PARTY SALES CHANNEL",12,2.966666667,1,56,43,39.5,206,24.33333333,119.3333333,"95944",0.309887684817225,"Y"
"CE-7199385","LARGE","M",63,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.966666667,1,31,68,48,100,6,219.6666667,"08922",0.867802659749128,"Y"
"CE-4605767","MEDIUM","F",40,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,24,75,47.2,11.33333333,0,68.33333333,"12409",0.647758471177862,"N"
"CE-5721364","SMALL","M",43,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,33,66,45.9,16.33333333,5.333333333,23.33333333,"31282",0.996205696669949,"Y"
"CE-2424664","SMALL","M",28,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.966666667,1,79,20,45.2,0.333333333,0,0,"56765",0.9919108230374,"Y"
"CE-9496304","LARGE","M",25,"N","N","N","THIRD PARTY SALES CHANNEL",,2.966666667,1,25,74,52,64.33333333,10.66666667,52,"84705",0.69853106913455,"Y"
"CE-9022570","SMALL","F",23,"N","N","N","THIRD PARTY SALES CHANNEL",,2.933333333,0,0,100,50.1,73.33333333,0.333333333,79.66666667,"43392",0.450468159625119,"N"
"CE-7921318","LARGE","M",54,"N","N","N","THIRD PARTY SALES CHANNEL",,2.933333333,1,31,68,40.9,166.6666667,16.33333333,133.3333333,"08600",0.0246527376934718,"Y"
"CE-5304151","MEDIUM","F",33,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,9,90,51,25,1.333333333,21,"45070",0.433859591950009,"N"
"CE-7366573","LARGE","F",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,0,100,41.3,58.33333333,22.33333333,135,"43581",0.752976593188457,"No"
"CE-2911781","LARGE","M",53,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,0,100,47.3,179.3333333,0.333333333,190.3333333,"43834",0.746968127323814,"No"
"CE-2520159","LARGE","M",61,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,30,69,48.6,35.33333333,0,113,"07328",0.174583430190195,"N"
"CE-3547317","LARGE","M",30,"Y","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,50,50,40.1,185.3333333,0,197.3333333,"05603",0.847808158868331,"Y"
"CE-2290579","LARGE","M",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,67,33,43,64.33333333,1,106.6666667,"35404",0.102998566117602,"Y"
"CE-3166970","SMALL","M",37,"N","N","N","PRIVATE SALES CHANNEL",12,2.933333333,1,10,89,42.1,18,0.666666667,35.33333333,"55939",0.32536110265688,"Y"
"CE-8178214","SMALL","M",58,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,100,0,45.6,16.33333333,0,48.33333333,"33983",0.715525810598154,"No"
"CE-6127217","SMALL","M",33,"Y","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,19,81,42.1,42,0.333333333,67.33333333,"61179",0.511688380324919,"Y"
"CE-2376260","MEDIUM","F",55,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,30,69,41.5,239.3333333,7,127.6666667,"07437",0.0384425052963068,"No"
"CE-705443","SMALL","M",54,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,0,100,46.9,28,6.333333333,57,"43269",0.340175459025109,"Y"
"CE-516583","TOP","M",39,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,54,45,42.9,78.33333333,0.666666667,146.6666667,"87451",0.0700752804813292,"N"
"CE-9553170","LARGE","F",21,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,47,52,44.1,85.66666667,43,46.66666667,"67661",0.0516119730689645,"No"
"CE-8310372","LARGE","M",21,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,81,18,45.9,177,3.333333333,291.3333333,"73211",0.124227881995515,"N"
"CE-9710933","MEDIUM","F",52,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,0,100,44.1,11.33333333,0.666666667,36.66666667,"43534",0.807420075327621,"No"
"CE-9527367","SMALL","M",67,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,13,86,46.4,14,0.333333333,11.66666667,"75198",0.10180647849237,"N"
"CE-2802242","LARGE","F",28,"N","N","N","PRIVATE SALES CHANNEL",12,2.933333333,0,100,0,31.7,100,22.33333333,98.33333333,"33423",0.0313423254400483,"No"
"CE-5863869","SMALL","M",54,"N","N","N","PRIVATE SALES CHANNEL",,2.933333333,1,23,76,41.7,4,0,14.33333333,"09187",0.752103589160433,"No"
"CE-7954001","LARGE","M",41,"N","N","N","THIRD PARTY SALES CHANNEL",,2.933333333,1,53,46,49.1,61.33333333,4.666666667,170.6666667,"44052",0.605894977536608,"N"
"CE-732100","LARGE","M",20,"N","N","N","THIRD PARTY SALES CHANNEL",,2.933333333,1,55,44,40.2,135.3333333,129.3333333,176.6666667,"68673",0.161109517948872,"Y"
"CE-881841","LARGE","M",43,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,100,0,48.7,127,102,189,"33581",0.0837180822669531,"Y"
"CE-2220827","LARGE","M",30,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,33,66,53.5,222.6666667,0,89,"31954",0.664745802397802,"N"
"CE-8594447","LARGE","F",25,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,100,0,31.4,145.3333333,20.33333333,81.66666667,"33825",0.0907045628415839,"Yes"
"CE-4065780","MEDIUM","M",24,"N","N","Y","THIRD PARTY SALES CHANNEL",24,2.933333333,0,0,100,40.3,101,10.66666667,115,"43585",0.0755040613956084,"Y"
"CE-7830158","SMALL","M",46,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,61,38,44.2,16.66666667,1,24.33333333,"20053",0.0102523558725701,"N"
"CE-2091787","LARGE","M",32,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,77,22,40.4,247.3333333,0.333333333,276.3333333,"52828",0.272574893686394,"Y"
"CE-2779584","LARGE","F",39,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,0,100,0,49.9,232.3333333,73,205.6666667,"33097",0.281958034752246,"No"
"CE-3940343","LARGE","F",43,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,44,55,49.6,72.33333333,2.333333333,282,"81530",0.0662002172845741,"Y"
"CE-1561170","LARGE","M",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,85,14,48.6,176,37,154,"23211",0.187284560359735,"Y"
"CE-462578","SMALL","M",43,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,82,17,39.9,27,0,95.33333333,"72445",0.368647997524215,"N"
"CE-7942579","LARGE","F",45,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,16,83,42.1,180.3333333,52,131.3333333,"90160",0.0829120980818325,"y"
"CE-6304475","MEDIUM","F",49,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,90,9,51.4,61.33333333,0.666666667,55.33333333,"00865",0.290635032447592,"No"
"CE-1376143","LARGE","M",27,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,100,0,30.1,74,7.666666667,89.66666667,"33694",0.378119624777495,"N"
"CE-6249629","MEDIUM","M",22,"N","N","N","THIRD PARTY SALES CHANNEL",,2.933333333,1,68,31,50.6,0,0,14,"83206",0.473995910759909,"N"
"CE-4523784","LARGE","M",36,"Y","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,42,57,45.3,91.33333333,14.33333333,124,"11886",0.140570279288277,"Y"
"CE-5818708","LARGE","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,1,76,23,49.7,67,1,71.66666667,"32438",0.450908788230805,"Yes"
"CE-7527310","LARGE","M",34,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,57,42,48.1,32,1.666666667,44,"58917",0.713328544249997,"N"
"CE-6907008","MEDIUM","F",28,"N","N","N","THIRD PARTY SALES CHANNEL",24,2.933333333,1,76,23,39.7,41.66666667,1.666666667,53,"32295",0.831874306048882,"Yes"
"CE-8400830","LARGE","M",31,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.933333333,0,0,100,54.9,225,13.66666667,123,"43647",0.289525526041031,"Y"
"CE-2049356","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,0,100,0,43.6,78.33333333,2,202.6666667,"33354",0.922686885918263,"Y"
"CE-343248","LARGE","F",22,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,1,73,26,65,212.6666667,7.333333333,274.3333333,"70639",0.818344403187587,"Y"
"CE-1941594","MEDIUM","M",26,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,1,72,27,38.6,20.33333333,8,38.66666667,"80297",0.590202348019431,"Y"
"CE-4227119","LARGE","M",21,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,1,92,7,44.1,235.3333333,12,410.3333333,"99058",0.391819834557189,"Y"
"CE-7360496","LARGE","M",22,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,1,26,73,47.9,154,61.66666667,77,"50697",0.354464973898465,"Y"
"CE-4574013","LARGE","F",42,"N","Y","Y","THIRD PARTY SALES CHANNEL",12,2.9,0,100,0,66.7,158,8.333333333,308,"33738",0.30084074009151,"N"
"CE-903227","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,0,0,100,41.6,199.3333333,11,300,"43502",0.405404971619295,"Y"
"CE-2743724","LARGE","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,1,47,52,42.5,195.3333333,2,275,"67103",0.962117231426717,"Y"
"CE-1104818","LARGE","M",24,"N","N","N","THIRD PARTY SALES CHANNEL",,2.9,1,46,53,42.3,145.3333333,38,147.3333333,"76874",0.895241818758877,"No"
"CE-1624231","TOP","M",37,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.9,1,37,62,52.9,76.66666667,24.66666667,97.33333333,"89034",0.135177563516755,"Yes"
"CE-4889116","SMALL","M",20,"N","N","N","THIRD PARTY SALES CHANNEL",12,2.9,0,50,50,40.8,14.66666667,3.333333333,12.66666667,"05795",0.344056585608515,"Y"
"CE-5883773","SMALL","M",36,"N","N","N","PRIVATE SALES CHANNEL",12,2.9,1,24,75,41.4,2.333333333,0,2.333333333,"12683",0.291382927193278,"No"
